time,open,high,low,close,EMA,EMA,EMA,EMA
1430179200,227.41,229.04,220.46,225.64,245.08171029793334,229.85463669950096,228.23655568580168,227.37770807829935
1430265600,225.39,227.3,220.2,225.6,244.37843493015,229.2168314567151,227.60398775562354,226.71513871886623
1430352000,225.78,240,225.1,236.81,243.71420511121607,228.72585553432725,227.19865714326275,226.4034258125775
1430438400,236.78,238.78,233.01,233.14,243.46655492867265,229.87644760085192,229.3278444447599,229.86228387505167
1430524800,233.15,237.15,233,235.94,243.0981065383629,230.34409794358737,230.17721234592437,230.95818925003445
1430611200,235.94,242.97,234.26,240.78,242.84245987627853,231.1435125230749,231.45783182460784,232.6187928333563
1430697600,240.88,243.99,238.06,239.75,242.77237202355428,232.53443930549275,233.551646974695,235.37252855557088
1430784000,239.75,240,232,236.76,242.6644301655702,233.56523369042236,234.9290587580961,236.83168570371393
1430870400,236.76,237.87,228.38,230,242.45355765965698,234.02162887750487,235.33593458963028,236.80779046914262
1430956800,230,239.18,228.67,237.99,242.00878774324065,233.44711046643275,234.15017134749021,234.5385269794284
1431043200,237.97,247.06,236.35,244.54,241.8645453238392,234.09323754265665,234.99902215915907,235.68235131961893
1431129600,244.44,247.6,240,242.5,241.9565258479878,235.57134646513427,237.0970172349015,238.6015675464126
1431216000,242.59,244.89,239.63,241.57,241.97914992484536,236.57401125582936,238.31768007159005,239.93104503094173
1431302400,241.59,245.49,239.5,242.86,241.96525171324373,237.29058107642516,239.04486227790338,240.4840300206278
1431388800,242.74,243.4,240.37,242.03,241.9929212949136,238.06906949407872,239.86600399392486,241.23602001375187
1431475200,242.04,244.13,235.54,236.32,241.9946026772381,238.6363452806389,240.34911421749712,241.50401334250125
1431561600,236.93,240,232.61,237.46,241.81372401019388,238.39258166911904,239.5893110580533,239.97934222833416
1431648000,237.39,239,236.89,237.82,241.65573386697267,238.24935571638775,239.1005752673748,239.11622815222276
1431734400,237.91,237.99,235.48,236.73,241.52195765743792,238.20087632833236,238.83600298573597,238.71415210148183
1431820800,236.72,238.45,236.7,237.12,241.3504591696723,237.989322567142,238.36578010001688,238.0494347343212
1431907200,237.1,237.89,231.66,234.04,241.1986570564697,237.86227648612171,238.08449563334645,237.73295648954746
1431993600,234.04,234.92,231.53,232.59,240.94299073302435,237.31623698810432,237.18571882593614,236.50197099303165
1432080000,232.58,235,232.54,234.54,240.64431249255918,236.63963170408942,236.16222575350588,235.19464732868778
1432166400,234.55,236.74,234.16,235.77,240.42665847496778,236.34111288921952,235.8039533638379,234.97976488579187
1432252800,235.77,242,235.11,240.45,240.26034924371893,236.25952533361672,235.79640817187394,235.24317659052792
1432339200,240.41,240.64,237.89,239.36,240.26569391358612,236.8524502859572,236.8216508003464,236.96545106035194
1432425600,239.38,242,238.27,240.82,240.2340619881009,237.21352881653473,237.39017284471385,237.77030070690128
1432512000,240.68,241.4,236.71,237.43,240.24998834566873,237.7087389856012,238.12124554588854,238.7402004712675
1432598400,237.39,238.34,235.81,236.79,240.147845904752,237.66320484480102,237.9587465356911,238.29013364751168
1432684800,236.8,238.75,236.47,237.35,240.02827997958227,237.5398898669723,237.70124730553752,237.79342243167446
1432771200,237.35,238.48,236.23,237.34,239.9326271231686,237.5127627431191,237.62319234875142,237.64561495444963
1432857600,237.25,237.68,235.01,236.89,239.83681901162686,237.4752252083878,237.54026071569555,237.51374330296642
1432944000,236.89,236.99,231,233.55,239.73157547549732,237.39162160718953,237.39575833442987,237.30582886864428
1433030400,233.61,233.94,229.55,230.21,239.51294777994386,236.8513899490196,236.55447870455657,236.07388591242952
1433116800,230.18,230.99,221.58,223.56,239.17962821637443,235.8983342420168,235.1379278813218,234.10925727495302
1433203200,223.55,226.68,221.84,225.85,238.62142720864676,234.13428649315725,232.56283279658362,230.58950484996868
1433289600,225.83,227.45,223.82,225.86,238.16459052262366,232.94795985127763,231.06664773067615,229.00300323331246
1433376000,225.85,226.07,223.56,224.57,237.72478371824423,231.9339655868094,229.90739267941478,227.95200215554163
1433462400,224.57,226.74,223.01,224.97,237.2549700140212,230.88197050297947,228.7213054173226,226.82466810369442
1433548800,225.03,225.61,224.27,225.48,236.81836394209188,230.04597471683954,227.90101532458425,226.22644540246296
1433635200,225.48,226.09,222.88,223.89,236.41342237273145,229.3936926144339,227.36301191912108,225.97763026830864
1433721600,223.88,230.16,223.63,229.1,235.9658001451339,228.60602224094333,226.5890092704275,225.27842017887244
1433808000,229.1,232.06,228.31,229.18,235.7205929970934,228.67659049223715,227.1470072103325,226.55228011924828
1433894400,229.31,230.45,227.98,228.73,235.4916432471972,228.7670775647747,227.62767227470306,227.47152007949884
1433980800,228.79,230.92,228.7,229.69,235.25229884551158,228.7703521983783,227.88596732476904,227.91101338633257
1434067200,229.68,231.32,229.01,229.47,235.0532881724576,228.90030188432425,228.28464125259813,228.5006755908884
1434153600,229.21,233.49,228.79,233.47,234.84459930915554,228.94454447227793,228.49027652979856,228.73711706059225
1434240000,233.49,235,232.53,233.6,234.7962207624,229.5938952619525,229.60132618984332,230.32141137372818
1434326400,233.61,238.5,233.6,236.99,234.7538557351714,230.167624510245,230.49214259210035,231.41760758248546
1434412800,236.92,253.26,236.01,251.91,234.83121803034385,231.13224958021,231.9205553494114,233.25173838832364
1434499200,251.88,259.46,247,250.25,235.4401031006887,234.09621392589426,236.35598749398665,239.46115892554909
1434585600,250.18,253.29,243.51,249.27,235.9665279899498,236.39389765076652,239.42799027310073,243.03410595036607
1434672000,249.33,251.05,245.04,246.33,236.4437948474516,238.24191227208559,241.62843687907835,245.13273730024406
1434758400,246.33,246.99,240.46,246.13,236.79687360289978,239.39735337607337,242.67322868372761,245.53182486682937
1434844800,246.08,246.98,242,244.66,237.12841383136765,240.35201717949147,243.4302889762326,245.7145499112196
1434931200,244.66,248.5,243.86,247.5,237.39739905167596,240.96744329670696,243.70355809262534,245.3630332741464
1435017600,247.48,248.06,243.01,244.52,237.75749194268752,241.89780854003453,244.54276740537526,246.06868884943094
1435104000,244.54,244.92,239.51,240.04,237.99972437330584,242.27526446288675,244.54215242640296,245.55912589962062
1435190400,240.14,243.44,239.91,242.44,238.0761627885449,241.97022668247436,243.56389633164676,243.7527505997471
1435276800,242.46,243.1,239.91,243,238.23272840323972,242.04019429926373,243.31858603572525,243.32183373316474
1435363200,242.99,252.22,242.6,251.59,238.40263096026686,242.17588082794035,243.2455669166752,243.21122248877649
1435449600,251.46,251.87,247.51,249.11,238.86896556882877,243.50218356680602,245.07099649074738,245.96081499251767
1435536000,249.11,257.99,249.09,257.54,239.23471679851346,244.30330020011945,245.96855282613686,247.0105433283451
1435622400,257.53,269.39,255.91,263.82,239.88811976999511,246.19282874295953,248.53776330921755,250.5170288855634
1435708800,263.83,265.45,255.12,259.02,240.74318692106672,248.71242463682245,251.93603812939142,254.95468592370892
1435795200,258.96,262,253,254.85,241.3937873881715,250.17636397441925,253.49691854508222,256.28979061580594
1435881600,254.86,257.37,252.77,256.95,241.87472355287966,250.8454548352165,253.79982553506395,255.81319374387064
1435968000,256.94,261,254.4,260.64,242.41276914027682,251.71610414447127,254.49764208282753,256.1887958292471
1436054400,260.64,275.25,258.99,271.74,243.06374167098122,252.9909464095468,255.86261050886586,257.6725305528314
1436140800,272.17,277.88,268.27,269.94,244.1032508970176,255.73081120818298,259.486474840229,262.50502036855426
1436227200,269.78,272.11,264.5,266.18,245.02027765069553,257.73783817844253,261.77392487573366,264.93001357903614
1436313600,266.18,273.97,264.41,270.97,245.77598202031356,258.9438612958079,262.7530526811262,265.34667571935745
1436400000,271.5,272.5,267.1,269.75,246.6946969481595,260.7375953964068,264.69681875198705,267.39778381290495
1436486400,269.77,294.71,269,286.67,247.51881491429666,262.0279389112058,265.8241923626566,268.1885225419366
1436572800,286.71,299,284.5,294.23,248.91850009592892,265.5539476381764,270.4654829487329,274.3623483612911
1436659200,294.29,316.52,293.5,312.16,250.5389108067886,269.65909797557975,275.75982007123673,281.0048989075274
1436745600,312.19,312.91,281.62,293.08,252.74073542083187,275.7349411219255,283.8554156109619,291.39993260501825
1436832000,292.93,297.78,286.25,287.51,254.1760662986593,278.1913781045076,285.87198991963703,291.9099550700122
1436918400,287.48,294.11,284.98,285.7,255.3654925022786,279.5183240895779,286.229325493051,290.4333033800081
1437004800,285.7,292.78,275,279.38,256.4488677700544,280.40142064820964,286.11169760570635,288.8555355866721
1437091200,279.38,281.38,272.64,280.58,257.2678367782667,280.2555034127511,284.6157648044383,285.69702372444806
1437177600,280.14,282.71,276.34,277.71,258.0846997504715,280.23900292521523,283.621150403452,283.84468248296537
1437264000,277.71,278.48,275,275.61,258.7856033308118,279.8777167930416,282.30756142490714,281.7997883219769
1437350400,275.6,280,273.34,280,259.38611749756853,279.2666143940357,280.8169922193722,279.7331922146513
1437436800,279.96,281.27,276.85,277.32,260.1208990155125,279.36566948060204,280.62654950395614,279.8087948097675
1437523200,277.33,278.54,275.01,277.89,260.7355097649585,279.0748595548017,279.89398294752147,278.98252987317835
1437609600,277.96,279.75,276.28,277.39,261.3506701304957,278.9155939041158,279.46420895918334,278.6416865821189
1437696000,277.23,291.52,276.43,289.12,261.91778905440657,278.6747947749564,278.96771807936483,278.17112438807925
1437782400,289.12,291.67,286.82,289.7,262.8892965881778,280.1669669499626,281.22378072839484,281.82074959205283
1437868800,289.68,294.49,288.65,293.89,263.8461074243143,281.5259716713965,283.1029405665293,284.4404997280352
1437955200,293.88,297,287.24,294.21,264.9187464448745,283.29083286119703,285.4978426628561,287.5869998186901
1438041600,294.22,298,293.65,295.76,265.96521978612896,284.8521424524546,287.4360998488881,289.79799987912673
1438128000,295.74,296.58,289.01,290.19,267.0286047937672,286.4075506735325,289.28141099357964,291.7786665860845
1438214400,290.26,291.56,286.56,288.49,267.8582974797041,286.9579005773136,289.4988752172286,291.272444390723
1438300800,288.49,290,282.79,285.19,268.5951439982861,287.17677192341165,289.27468072451114,290.3449629271487
